nome,preco,imagem,status,categoria_principal,subcategoria,special,Codigo
Funko Pop! Filme Terror Inferno No Hotel Vincent Smith 1737,"R$ 544,90",https://cdn.awsli.com.br/800x800/84/84034/produto/332923950/vincent-smith-b-1--800-8xssjvstpu.jpg,disponivel,Filmes e Séries,Outros Filmes,,AC2338P13
Funko Pop! DC Comics Mulher Maravilha / Wonder Woman 600,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/369561076/wonder-woman-asd-pgepe1pbzf.png,disponivel,Heróis/Vilões,Mulher Maravilha,,AC2445Q19
Funko Pop! Animation Jem And The Holograms Shana Elmsford 1790,"R$ 109,90",https://cdn.awsli.com.br/800x800/84/84034/produto/326358172/funko-pop--animation-jem-and-the-holograms-shana-elmsford-1790-aa-mor3mjwy0r.png,disponivel,Disney,Jem e as Hologramas,,AC2863W73
Funko Pop! Animation Coragem o Cão Covarde The Great Eggplant Courage 2009 Exclusivo 5000 Pcs,"R$ 799,90",https://cdn.awsli.com.br/800x800/84/84034/produto/360296601/cowardly-dog-the-great-eggplant-courage-funko-pop-bs-ct608hi9zm.png,disponivel,Disney,Outras Animações,Exclusivo,AC2887W43
Funko Pop! Television Power Rangers Red Zeo Ranger 1714,"R$ 194,90",https://cdn.awsli.com.br/800x800/84/84034/produto/356830853/red-zeo-ranger-sd-1qxlgawpgx.png,disponivel,Filmes e Séries,Power Rangers,,AC2918G12
Funko Pop! Disney O Estranho Mundo de Jack Natal Santa Jack Skellington 72,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/232937465/santa-jack-skelling-72-cc-800-9g7piea0rk.jpg,disponivel,Disney,O Estranho Mundo de Jack,,AC3371P80
Funko Pop! Marvel X-Men Sentinel With Wolverine 1054 Exclusivo 10 Polegadas,"R$ 1.599,90",https://cdn.awsli.com.br/800x800/84/84034/produto/255463489/funko-pop--marvel-x-men-sentinel-with-wolverine-1054-exclusivo-10-polegadas-c-80-sc53xd1l7f.jpg,disponivel,Heróis/Vilões,X-Men,Exclusivo | 10 Polegadas,AC4607B35
Funko Pop! Television Star Wars KB 701,"R$ 129,90",https://cdn.awsli.com.br/800x800/84/84034/produto/380577531/kb-x232-b3v4vxnr64.png,disponivel,Filmes e Séries,Star Wars,,AC4933X66
Funko Pop! Dc Comics The Flash 1333,"R$ 334,90",https://cdn.awsli.com.br/800x800/84/84034/produto/203834288/funko-pop--filme-dc-comics-the-flash-1333-asfasdfa-jfdqvs4k0r.jpg,disponivel,Heróis/Vilões,O Flash,,AC5031Y65
Funko Pop! Disney O Rei Leao Rafiki With Simba 301 Exclusivo Diamond,"R$ 469,90",https://cdn.awsli.com.br/800x800/84/84034/produto/212247260/funko-pop--disney-the-lion-king-rafiki-with-simba-301-exclusivo-diamond-f800-d0kh42xnk3.jpg,disponivel,Disney,O Rei Leão,Exclusivo | Diamond,AC5309V58
Funko Pop! Television Parks And Recreation Filibuster Leslie 1151 Exclusivo,"R$ 199,90",https://cdn.awsli.com.br/800x800/84/84034/produto/122133797/funko-pop--parks-and-recreation-filibuster-leslie-1151-exclusivo-a-800-65cx8n3p70.jpg,disponivel,Filmes e Séries,Parks and Recreation,Exclusivo,AC5394I53
Funko Pop! DC Comics Batman Hush 460 Exclusivo,"R$ 184,90",https://cdn.awsli.com.br/800x800/84/84034/produto/207168888/funko-pop--heroes-batman--hush--460-exclusivo-a-820-co8lokfutg.jpg,disponivel,Heróis/Vilões,Batman,Exclusivo,AC5415Y21
Funko Pop! Retro Toys Etch A Sketch 130,"R$ 154,90",https://cdn.awsli.com.br/800x800/84/84034/produto/272121723/etch-a-sketch-bn-1--800-yruopkf3pm.jpg,disponivel,Filmes e Séries,Retro Toys,,AC5504N22
Funko Pop! Rocks Tina Turner 492,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/384993417/tina-turner-x2-nfjo069p8y.png,disponivel,Música,#NAME?,,AC5589Y71
Funko Pop! Comic Covers Marvel X-Men Nightcrawler 49 Exclusivo,"R$ 269,90",https://cdn.awsli.com.br/800x800/84/84034/produto/367487389/comic-covers-nightcrawler-as-ux4s5l15af.png,disponivel,Heróis/Vilões,X-Men,Exclusivo,AC5967N22
Funko Pop! Marvel Captain America Civil War Crossbones 134,"R$ 264,90",https://cdn.awsli.com.br/800x800/84/84034/produto/233298099/civil-war---crossbones-134-cc-800-ghnxjkuhrh.jpg,disponivel,Heróis/Vilões,Marvel,,AC6129J35
Funko Pop! Animation One Piece Monkey D. Luffy 2052 Exclusivo,"R$ 229,90",https://cdn.awsli.com.br/800x800/84/84034/produto/370951401/sa-iohbl228pk.png,disponivel,Animes,One Piece,Exclusivo,AC6276B16
Funko Pop! Games Pokemon Vulpix 580,"R$ 154,90",https://cdn.awsli.com.br/800x800/84/84034/produto/105619435/funko-pop--games-0por3lipz6.jpg,disponivel,Games,Pokemon,,AC6564E94
Funko Pop! Television O Cavaleiro Dos Sete Reinos Lyonel Baratheon 1902,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/398886837/lyonel-baratheon-xx-eypbma6sqp.png,disponivel,Filmes e Séries,O Cavaleiro Dos Sete Reinos,,AC6665W35
Funko Pop! Marvel Wandavision Wanda Maximoff 1455,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/326593720/wanda-maximoff-b-1--800-7bhezv2427.jpg,disponivel,Heróis/Vilões,WandaVision,,AC7599J97
Funko Pop! Filme Mais um Verão Americano Gene 1606,"R$ 334,90",https://cdn.awsli.com.br/800x800/84/84034/produto/293685596/gene-with-can-of-vegetables-b-1--800-84osqy6zfz.jpg,disponivel,Filmes e Séries,Outros Filmes,,AC9126U75
Funko Pop! Animation Rick And Morty Slick Morty 440,"R$ 264,90",https://cdn.awsli.com.br/800x800/84/84034/produto/181860673/funko-pop--rick-and-morty-slick-morty-440-cc-800-dvflbxd1i5.jpg,disponivel,Disney,Rick and Morty,,AC9156K48
Funko Pop! Advent Calendar Os Simpsons Treehouse of Horror 13 Day," R$ 474,90 ",https://cdn.awsli.com.br/800x800/84/84034/produto/278683986/the-simpsons-13-b-800-s3hvwlen3l.jpg,disponivel,Filmes e Séries,Calendário do Advento,,AC9274R35
Funko Pop! Marvel Vingadores Eitri 332,"R$ 264,90",https://cdn.awsli.com.br/800x800/84/84034/produto/243383581/funko-pop--eitri-332-cc-600-pxf98ko74f.jpg,disponivel,Heróis/Vilões,Os Vingadores,,AC9288I88
Funko Pop! Television Star Wars Sandtrooper 803,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/373529739/sandtrooper-as-7q8q388qa3.png,disponivel,Filmes e Séries,Star Wars,,AC9347V25
